iter	Passed	Remaining
704	4617	1932
705	4623	1925
706	4631	1919
707	4637	1912
708	4647	1907
709	4653	1900
710	4660	1894
711	4666	1887
712	4672	1880
713	4678	1874
714	4685	1867
715	4691	1861
716	4699	1854
717	4704	1847
718	4709	1840
719	4715	1833
720	4720	1826
721	4725	1819
722	4731	1812
723	4736	1805
724	4741	1798
725	4746	1791
726	4751	1784
727	4756	1777
728	4762	1770
729	4766	1763
730	4771	1756
731	4777	1749
732	4782	1742
733	4788	1735
734	4793	1728
735	4798	1721
736	4804	1714
737	4808	1707
738	4813	1700
739	4819	1693
740	4824	1686
741	4830	1679
742	4836	1672
743	4841	1665
744	4846	1658
745	4852	1652
746	4857	1645
747	4862	1638
748	4867	1631
749	4872	1624
750	4878	1617
751	4883	1610
752	4888	1603
753	4893	1596
754	4898	1589
755	4904	1582
756	4909	1575
757	4914	1569
758	4919	1562
759	4924	1555
760	4930	1548
761	4935	1541
762	4940	1534
763	4946	1527
764	4951	1521
765	4957	1514
766	4962	1507
767	4967	1500
768	4973	1494
769	4978	1487
770	4984	1480
771	4989	1473
772	4993	1466
773	4999	1459
774	5004	1452
775	5009	1445
776	5014	1439
777	5019	1432
778	5024	1425
779	5030	1418
780	5035	1412
781	5040	1405
782	5046	1398
783	5051	1391
784	5056	1384
785	5062	1378
786	5067	1371
787	5073	1364
788	5078	1358
789	5083	1351
790	5088	1344
791	5093	1337
792	5099	1331
793	5104	1324
794	5109	1317
795	5114	1310
796	5120	1304
797	5125	1297
798	5131	1290
799	5136	1284
800	5142	1277
801	5148	1271
802	5153	1264
803	5158	1257
804	5163	1250
805	5169	1244
806	5174	1237
807	5178	1230
808	5183	1223
809	5188	1217
810	5193	1210
811	5199	1203
812	5204	1197
813	5210	1190
814	5216	1184
815	5221	1177
816	5226	1170
817	5231	1163
818	5236	1157
819	5242	1150
820	5247	1144
821	5252	1137
822	5258	1130
823	5263	1124
824	5269	1117
825	5274	1111
826	5280	1104
827	5285	1097
828	5291	1091
829	5297	1085
830	5304	1078
831	5310	1072
832	5316	1065
833	5321	1059
834	5327	1052
835	5334	1046
836	5340	1040
837	5346	1033
838	5352	1027
839	5357	1020
840	5364	1014
841	5369	1007
842	5376	1001
843	5382	994
844	5389	988
845	5395	982
846	5401	975
847	5406	969
848	5412	962
849	5418	956
850	5423	949
851	5429	943
852	5436	936
853	5442	930
854	5450	924
855	5456	917
856	5461	911
857	5467	904
858	5474	898
859	5479	891
860	5484	885
861	5489	878
862	5494	872
863	5499	865
864	5504	859
865	5509	852
866	5516	846
867	5521	839
868	5528	833
869	5533	826
870	5539	820
871	5545	814
872	5551	807
873	5555	800
874	5561	794
875	5566	787
876	5573	781
877	5578	775
878	5582	768
879	5587	761
880	5592	755
881	5597	748
882	5603	742
883	5608	735
884	5613	729
885	5618	722
886	5623	716
887	5628	709
888	5633	703
889	5638	696
890	5644	690
891	5650	684
892	5655	677
893	5661	671
894	5666	664
895	5672	658
896	5677	651
897	5683	645
898	5688	639
899	5694	632
900	5698	626
901	5703	619
902	5708	613
903	5713	606
904	5718	600
905	5723	593
906	5728	587
907	5734	580
908	5738	574
909	5744	568
910	5749	561
911	5754	555
912	5759	548
913	5764	542
914	5769	535
915	5774	529
916	5779	523
917	5784	516
918	5789	510
919	5794	503
920	5798	497
921	5804	491
922	5809	484
923	5813	478
924	5819	471
925	5824	465
926	5828	459
927	5834	452
928	5839	446
929	5844	439
930	5849	433
931	5854	427
932	5860	420
933	5865	414
934	5870	408
935	5875	401
936	5880	395
937	5886	389
938	5891	382
939	5896	376
940	5901	370
941	5906	363
942	5912	357
943	5917	351
944	5922	344
945	5927	338
946	5932	332
947	5937	325
948	5943	319
949	5948	313
950	5953	306
951	5959	300
952	5964	294
953	5969	287
954	5975	281
955	5980	275
956	5986	268
957	5991	262
958	5996	256
959	6001	250
960	6007	243
961	6012	237
962	6018	231
963	6023	224
964	6028	218
965	6033	212
966	6039	206
967	6044	199
968	6051	193
969	6057	187
970	6061	181
971	6066	174
972	6072	168
973	6077	162
974	6082	155
975	6088	149
976	6093	143
977	6098	137
978	6104	130
979	6109	124
980	6114	118
981	6120	112
982	6124	105
983	6130	99
984	6135	93
985	6140	87
986	6146	80
987	6151	74
988	6156	68
989	6161	62
990	6167	56
991	6172	49
992	6177	43
993	6183	37
994	6188	31
995	6193	24
996	6198	18
997	6205	12
998	6210	6
999	6214	0
